Sample_Index,Error_mm
1,6.3678994
2,29.17341
3,10.763071
4,26.132566
5,9.9709015
6,42.006374
7,21.751715
8,21.76513
9,14.5630665
10,34.01878
11,34.338783
12,22.45016
13,28.407545
14,12.6998625
15,13.6959915
16,31.886066
17,38.240364
18,9.82778
19,14.091985
20,18.378502
21,16.830288
22,22.740639
23,32.535263
24,33.435795
25,14.779759
26,15.499984
27,12.753791
28,28.492046
29,29.517221
30,19.200747
31,38.06171
32,15.395024
33,29.052418
34,10.222823
35,21.029564
36,13.842706
37,14.739948
38,29.228834
39,155.83554
40,33.832928
41,15.484522
42,15.560863
43,49.264896
44,17.536715
45,17.291111
46,25.51471
47,42.056534
48,25.421669
49,14.68157
50,23.38386
51,29.237997
52,13.6737175
53,39.340042
54,26.438969
55,24.274681
56,27.49757
57,31.165808
58,17.238455
59,34.12227
60,26.73705
61,14.896813
62,23.706932
63,38.56897
64,29.132042
65,3.4104862
66,42.649345
67,12.131349
68,10.300245
69,21.144762
70,20.318316
71,22.47184
72,25.817638
73,19.46171
74,37.035282
75,44.918385
76,27.220852
77,19.448486
78,14.029066
79,34.81292
80,36.156708
81,46.70082
82,15.053675
83,40.43802
84,42.09818
85,19.4487
86,17.59176
87,7.8694124
88,19.394007
89,11.173181
90,25.31494
91,11.312012
92,13.829907
93,13.184723
94,7.756878
95,30.22645
96,31.426481
97,9.065734
98,9.396998
99,15.688118
100,19.497734
101,25.251732
102,7.6621456
103,11.602846
104,29.125738
105,17.897284
106,28.385855
107,29.51006
108,19.979664
109,10.467555
110,42.621162
111,29.867868
112,45.282936
113,19.070768
114,37.279182
115,17.93756
116,15.869474
117,13.603813
118,23.390804
119,21.307695
120,16.387335
121,38.25925
122,24.360735
123,13.866808
124,26.12058
125,7.5571065
126,16.623545
127,9.050185
128,24.756792
129,30.649271
130,13.803788
131,12.14013
132,17.744448
133,38.011837
134,21.458364
135,12.866762
136,30.34201
137,9.571582
138,35.834763
139,33.487946
140,28.245628
141,14.532372
142,40.218853
143,25.23141
144,19.629402
145,15.107295
146,14.942235
147,14.717644
148,18.436033
149,27.772484
150,13.90864
151,8.561014
152,30.41471
153,42.804413
154,9.762467
155,11.499783
156,26.225412
157,31.404455
158,24.393572
159,75.21318
160,14.148038
161,5.3061457
162,10.292939
163,33.04247
164,21.726192
165,88.400444
166,26.479301
167,40.09054
168,33.042118
169,47.012115
170,16.957264
171,13.108898
172,44.04278
173,35.622128
174,32.93891
175,34.196854
176,20.363455
177,15.007702
178,41.63983
179,34.48642
180,18.286592
181,18.360308
182,24.332914
183,8.864784
184,19.181448
185,42.748142
186,18.618942
187,16.016098
188,42.193996
189,35.29024
190,15.17399
191,27.13914
192,18.022406
193,36.27625
194,20.196915
195,8.845675
196,32.05207
197,9.995807
198,33.748775
199,26.293037
200,26.29632
201,10.26049
202,32.161385
203,27.009363
204,19.979532
205,44.123867
206,41.569336
207,9.35286
208,8.437289
209,10.377552
210,68.04855
211,22.835453
212,32.698708
213,22.289545
214,38.48629
215,11.7284975
216,71.65773
217,16.59444
218,21.547905
219,33.166424
220,20.398203
221,22.931768
222,47.04721
223,36.90498
224,20.478848
225,32.511623
226,10.464373
227,28.096975
228,12.083773
229,8.507977
230,31.434637
231,20.605444
232,31.274189
233,46.983234
234,18.828693
235,29.649303
236,14.361342
237,28.716637
238,18.372429
239,18.684378
240,28.069517
241,15.832726
242,32.167675
243,11.8671665
244,17.61516
245,13.459993
246,32.926044
247,25.47031
248,9.95498
249,32.171726
250,29.417196
251,13.708722
252,18.35088
253,13.748248
254,23.448992
255,9.284195
256,33.61703
257,15.501496
258,20.617764
259,15.4469
260,39.496613
261,13.985196
262,11.283748
263,23.27737
264,14.712451
265,40.761105
266,31.920187
267,20.159296
268,33.028145
269,15.980003
270,9.991245
271,5.99745
272,34.46345
273,39.39506
274,19.760586
275,14.989718
276,31.02343
277,38.213852
278,36.63367
279,37.50641
280,36.888523
281,26.771223
282,12.44019
283,22.032497
284,10.639076
285,31.866663
286,9.266383
287,22.410105
288,33.34443
289,9.487546
290,18.694765
291,20.677471
292,12.391123
293,37.87674
294,32.159515
295,10.46071
296,7.8970556
297,37.91674
298,41.2202
299,16.038668
300,27.219744
301,23.395264
302,15.667217
303,17.362331
304,33.445004
305,31.634995
306,14.259176
307,10.272943
308,32.899647
309,19.143303
310,15.006767
311,24.980577
312,35.034595
313,30.835234
314,23.280611
315,36.77325
316,8.708277
317,13.2751045
318,25.921385
319,26.11206
320,14.231603
321,16.802404
322,27.594368
323,32.393417
324,15.662357
325,35.802505
326,47.95528
327,25.349724
328,41.66691
329,30.14759
330,18.300207
331,32.94967
332,28.182138
333,28.772556
334,33.687805
335,16.001188
336,32.448616
337,23.061052
338,37.246002
339,23.237804
340,15.240226
341,23.993034
342,32.542282
343,19.293493
344,19.222412
345,31.505026
346,40.115524
347,23.918402
348,15.918151
349,39.34566
350,32.70876
351,24.788517
352,37.652905
353,12.661505
354,15.864447
355,11.294654
356,17.971588
357,9.2619095
358,15.110036
359,29.012539
360,10.329155
361,11.222222
362,39.54009
363,39.32313
364,17.205038
365,10.070191
366,14.801391
367,19.922197
368,16.836395
369,8.245922
370,29.962257
371,21.18577
372,11.537376
373,10.53591
374,16.623798
375,36.51645
376,42.449184
377,26.47523
378,42.722836
379,38.167316
380,13.171245
381,9.522571
382,32.53356
383,27.938784
384,16.946978
385,27.670673
386,11.8684845
387,42.00674
388,12.127018
389,30.617289
390,21.741623
391,43.484695
392,15.751923
393,23.672083
394,38.703716
395,20.067614
396,11.800711
397,11.885467
398,19.866478
399,22.275267
400,22.986567
401,25.904808
402,19.224266
403,40.299534
404,35.0188
405,29.50121
406,21.771334
407,14.13874
408,30.340128
409,12.101867
410,31.419233
411,23.826672
412,19.821514
413,18.530115
414,9.4334955
415,17.334269
416,10.909163
417,7.1457043
418,33.899857
419,24.709042
420,8.8151865
421,19.314829
422,8.9012
423,41.697666
424,40.58683
425,16.47948
426,18.75393
427,9.873353
428,22.830738
429,32.606174
430,22.889183
431,13.711663
432,11.484924
433,27.588072
434,12.894348
435,31.027977
436,11.911968
437,7.7723894
438,20.642637
439,13.684452
440,25.578411
441,27.66103
442,29.97846
443,36.45999
444,7.329312
445,12.583099
446,20.253952
447,35.908348
448,13.549258
449,13.99417
450,37.940384
451,11.130509
452,9.783884
453,23.14229
454,41.415646
455,20.243763
456,38.444397
457,5.779733
458,14.831133
459,7.625296
460,15.743422
461,16.821136
462,12.758043
463,18.176876
464,33.7959
465,14.181838
466,22.322857
467,25.516068
468,16.380764
469,17.639019
470,12.822851
471,16.187544
472,25.096897
473,19.521595
474,21.119953
475,21.361124
476,20.17529
477,30.939062
478,19.526745
479,40.716137
480,10.810616
481,40.554966
482,19.99271
483,11.489079
484,35.153313
485,24.92748
486,35.332264
487,46.89692
488,20.85304
489,11.3456335
490,36.706356
491,14.944668
492,14.362067
493,42.254494
494,13.783917
495,10.353277
496,9.107123
497,37.73099
498,15.547548
499,43.28717
500,15.885492
