epoch,train_loss,test_loss,learning_rate
0,0.3796134799385071,0.3745008830356598,0.001
1,0.3737437031459808,0.3727472553539276,0.001
2,0.3724455421638489,0.3721023562145233,0.001
3,0.3720819882297516,0.37182887524604796,0.001
4,0.3719047780704498,0.37251962003707884,0.001
5,0.37177634874343873,0.37194247067451475,0.001
6,0.3717279375362396,0.37182414861679075,0.001
7,0.37160970770835877,0.37156195340156556,0.001
8,0.37154311725616457,0.37138722767829896,0.001
9,0.37144795482635495,0.3718928370285034,0.001
10,0.371361246099472,0.37161791750907897,0.001
11,0.37132328349113464,0.37159226749420166,0.001
12,0.3713015282535553,0.37150817242622375,0.001
13,0.37126570549964905,0.3714457441520691,0.001
14,0.3712644511413574,0.3713638810253143,0.001
15,0.3712081443119049,0.37122035223960875,0.001
16,0.37113426812171935,0.37127940546035765,0.001
17,0.3711596762752533,0.37120499237060545,0.001
18,0.37106925801277163,0.37099578075408934,0.001
19,0.37106319986343383,0.3713048736000061,0.001
20,0.37106504236221316,0.3713021401500702,0.001
21,0.3710025179290771,0.3711969700908661,0.001
22,0.3709694658565521,0.3712619680309296,0.001
23,0.3709541468524933,0.37093658030509946,0.001
24,0.3709407650279999,0.37127732371330263,0.001
25,0.37091025794029236,0.3713099608516693,0.001
26,0.37092483543396,0.370766536989212,0.001
27,0.37084122546195986,0.37097578099250794,0.001
28,0.3708136805152893,0.37121456944465636,0.001
29,0.37082840540885925,0.3709843024539948,0.001
30,0.370793336019516,0.3709944004249573,0.001
31,0.3707611006355286,0.37104948013305666,0.001
32,0.3707913653755188,0.37096665791511535,0.001
33,0.3707732588481903,0.3712406324005127,0.001
34,0.3707730867099762,0.3710663694858551,0.001
35,0.37072682279586794,0.3709794839668274,0.0005
36,0.3704496768283844,0.3706602115821838,0.0005
37,0.3704486505222321,0.370645969877243,0.0005
38,0.3704422240638733,0.3706850669574738,0.0005
39,0.37042940340042113,0.3706577546405792,0.0005
40,0.3704189186096191,0.37069114085197447,0.0005
41,0.370430313835144,0.370706107006073,0.0005
42,0.3704275165748596,0.3706928657436371,0.0005
43,0.3704266663265228,0.3708128011894226,0.0005
44,0.37040841205596925,0.37072870573043826,0.0005
45,0.3704002231788635,0.3707028887176514,0.00025
46,0.3702341236782074,0.3705778999710083,0.00025
47,0.37021705950737,0.37063141510009767,0.00025
48,0.3702020702075958,0.3706659216594696,0.00025
49,0.37020320521354677,0.3706819605731964,0.00025
50,0.3701970787715912,0.3705933591747284,0.00025
51,0.3701765295600891,0.37061363425254823,0.00025
52,0.3701703760051727,0.37060258467674256,0.00025
53,0.37016593691825866,0.37063434049606325,0.00025
54,0.3701464048957825,0.37064411781311035,0.00025
55,0.37014008902549744,0.3707713729763031,0.000125
56,0.37003045477867125,0.37059260725975035,0.000125
57,0.3700045378398895,0.3706209622192383,0.000125
58,0.36999088082313536,0.37062888555526735,0.000125
59,0.3699794536113739,0.3706420116710663,0.000125
60,0.369974277677536,0.370656723651886,0.000125
61,0.3699574422740936,0.37067162578582763,0.000125
62,0.3699565683746338,0.3706570612716675,0.000125
63,0.3699336349487305,0.3707162618637085,0.000125
64,0.3699294471740723,0.3707120151805878,6.25e-05
65,0.3698445062446594,0.3706671383476257,6.25e-05
66,0.36983004351615906,0.3706696454620361,6.25e-05
67,0.36981699692726133,0.3706744942855835,6.25e-05
68,0.36980507895469666,0.37070952357292175,6.25e-05
69,0.3697991115760803,0.37069609740257264,6.25e-05
70,0.3697896758937836,0.3707501144504547,6.25e-05
71,0.3697816092681885,0.37071796698570253,6.25e-05
72,0.3697757989501953,0.37071496396064757,6.25e-05
73,0.3697630798149109,0.37075272322654723,3.125e-05
74,0.3697095258235931,0.3707313685131073,3.125e-05
75,0.36969590619087217,0.37074244022369385,3.125e-05
76,0.3696881182765961,0.37074598813056947,3.125e-05
77,0.36968522104263307,0.37074537763595583,3.125e-05
78,0.3696777170085907,0.37076324147224426,3.125e-05
79,0.36967475107192993,0.3707442181301117,3.125e-05
80,0.36966883613586426,0.3707676804637909,3.125e-05
81,0.3696633677959442,0.3707679808521271,3.125e-05
82,0.3696589253997803,0.3708019010543823,1.5625e-05
83,0.3696219153022766,0.37078495183944704,1.5625e-05
84,0.36961654978752134,0.3707905450820923,1.5625e-05
85,0.3696131443309784,0.37078181266784666,1.5625e-05
86,0.3696113872051239,0.37078893385887146,1.5625e-05
87,0.3696077073574066,0.37079513436317446,1.5625e-05
88,0.36960504693984986,0.37078940769195556,1.5625e-05
89,0.36960185037612914,0.3708007284259796,1.5625e-05
90,0.3695983078289032,0.3708133779335022,1.5625e-05
91,0.3695971888065338,0.3708157212734222,7.8125e-06
92,0.3695739988136291,0.3708108865261078,7.8125e-06
93,0.3695718697452545,0.37081440099716184,7.8125e-06
94,0.3695705018043518,0.370814081735611,7.8125e-06
95,0.3695676071166992,0.37081671323776244,7.8125e-06
96,0.36956698595047,0.37082244595527647,7.8125e-06
97,0.36956581000328065,0.3708199636745453,7.8125e-06
98,0.36956375931739804,0.37082382053375246,7.8125e-06
99,0.3695622027683258,0.370823430557251,7.8125e-06
